q  E
-0.2 0.09335743391
-0.1965 0.09040944891
-0.193 0.08752052572
-0.1895 0.08468994943
-0.186 0.08191700875
-0.1825 0.07920099598
-0.179 0.07654120703
-0.1755 0.0739369414
-0.172 0.07138750222
-0.1685 0.06889219618
-0.165 0.0664503336
-0.1615 0.0640612284
-0.158 0.06172419808
-0.1545 0.05943856378
-0.151 0.0572036502
-0.1475 0.05501878567
-0.144 0.05288330211
-0.1405 0.05079653504
-0.137 0.04875782359
-0.1335 0.04676651048
-0.13 0.04482194204
-0.1265 0.0429234682
-0.123 0.04107044249
-0.1195 0.03926222205
-0.116 0.0374981676
-0.1125 0.03577764349
-0.109 0.03410001764
-0.1055 0.0324646616
-0.102 0.03087095051
-0.0985 0.0293182631
-0.095 0.02780598173
-0.0915 0.02633349233
-0.088 0.02490018446
-0.0845 0.02350545125
-0.081 0.02214868945
-0.0775 0.02082929943
-0.074 0.01954668512
-0.0705 0.01830025409
-0.067 0.01708941748
-0.0635 0.01591359006
-0.06 0.01477219017
-0.0565 0.01366463979
-0.053 0.01259036447
-0.0495 0.01154879337
-0.046 0.01053935925
-0.0425 0.009561498495
-0.039 0.008614651053
-0.0355 0.007698260499
-0.032 0.006811774001
-0.0285 0.005954642332
-0.025 0.005126319864
-0.0215 0.00432626457
-0.018 0.003553938028
-0.0145 0.002808805413
-0.011 0.002090335506
-0.0075 0.001398000686
-0.004 0.0007312769342
-0.0005 8.964383483e-05
0.003 -0.0005274154276
0.0065 -0.001120414067
0.01 -0.001689861695
0.0135 -0.002236264324
0.017 -0.002760124361
0.0205 -0.003261940616
0.024 -0.003742208293
0.0275 -0.004201418998
0.031 -0.004640060735
0.0345 -0.005058617904
0.038 -0.005457571307
0.0415 -0.005837398141
0.045 -0.006198572004
0.0485 -0.006541562893
0.052 -0.0068668372
0.0555 -0.007174857719
0.059 -0.007466083642
0.0625 -0.007740970557
0.066 -0.007999970454
0.0695 -0.008243531718
0.073 -0.008472099135
0.0765 -0.00868611389
0.08 -0.008886013563
0.0835 -0.009072232137
0.087 -0.009245199989
0.0905 -0.009405343898
0.094 -0.009553087041
0.0975 -0.009688848991
0.101 -0.009813045723
0.1045 -0.009926089607
0.108 -0.01002838941
0.1115 -0.01012035031
0.115 -0.01020237387
0.1185 -0.01027485806
0.122 -0.01033819723
0.1255 -0.01039278215
0.129 -0.01043899999
0.1325 -0.0104772343
0.136 -0.01050786504
0.1395 -0.01053126857
0.143 -0.01054781764
0.1465 -0.01055788141
0.15 -0.01056182543
0.1535 -0.01056001165
0.157 -0.01055279842
0.1605 -0.01054054048
0.164 -0.01052358899
0.1675 -0.01050229148
0.171 -0.01047699191
0.1745 -0.01044803061
0.178 -0.01041574432
0.1815 -0.01038046619
0.185 -0.01034252574
0.1885 -0.01030224892
0.192 -0.01025995806
0.1955 -0.01021597189
0.199 -0.01017060554
0.2025 -0.01012417054
0.206 -0.01007697483
0.2095 -0.01002932272
0.213 -0.009981514951
0.2165 -0.009933848635
0.22 -0.009886617299
0.2235 -0.009840110862
0.227 -0.009794615645
0.2305 -0.009750414364
0.234 -0.009707786136
0.2375 -0.009667006477
0.241 -0.009628347298
0.2445 -0.009592076913
0.248 -0.00955846003
0.2515 -0.009527757759
0.255 -0.009500227608
0.2585 -0.009476123481
0.262 -0.009455695684
0.2655 -0.009439190918
0.269 -0.009426852285
0.2725 -0.009418919286
0.276 -0.009415627817
0.2795 -0.009417210176
0.283 -0.009423895059
0.2865 -0.009435907558
0.29 -0.009453469167
0.2935 -0.009476797775
0.297 -0.009506107672
0.3005 -0.009541609547
0.304 -0.009583510484
0.3075 -0.00963201397
0.311 -0.009687319886
0.3145 -0.009749624515
0.318 -0.009819120538
0.3215 -0.009895997032
0.325 -0.009980439476
0.3285 -0.01007262974
0.332 -0.01017274611
0.3355 -0.01028096325
0.339 -0.01039745223
0.3425 -0.01052238053
0.346 -0.010655912
0.3495 -0.01079820693
0.353 -0.01094942197
0.3565 -0.01110971018
0.36 -0.01127922103
0.3635 -0.01145810039
0.367 -0.0116464905
0.3705 -0.01184453003
0.374 -0.01205235403
0.3775 -0.01227009396
0.381 -0.01249787767
0.3845 -0.01273582942
0.388 -0.01298406985
