ell  q
0 -0.15
5.551303189e-05 -0.15
0.0002220102209 -0.15
0.0004993659047 -0.15
0.0008873708394 -0.15
0.001385732488 -0.15
0.001994075423 -0.15
0.002711941847 -0.15
0.00353879222 -0.15
0.004474006001 -0.15
0.005516882502 -0.15
0.006666641847 -0.15
0.007922426036 -0.15
0.009283300119 -0.15
0.01074825346 -0.15
0.01231620113 -0.15
0.01398598532 -0.15
0.01575637699 -0.15
0.01762607741 -0.15
0.01959372 -0.15
0.02165787208 -0.15
0.0238170368 -0.15
0.02606965509 -0.15
0.02841410774 -0.15
0.03084871751 -0.15
0.03337175126 -0.15
0.03598142226 -0.15
0.03867589244 -0.15
0.04145327472 -0.15
0.04431163545 -0.15
0.04724899677 -0.15
0.05026333917 -0.15
0.0533526039 -0.15
0.05651469556 -0.15
0.05974748461 -0.15
0.06304881 -0.15
0.06641648168 -0.15
0.06984828324 -0.15
0.07334197451 -0.15
0.07689529414 -0.15
0.08050596221 -0.15
0.08417168283 -0.15
0.08789014667 -0.15
0.09165903358 -0.15
0.09547601508 -0.15
0.09933875689 -0.15
0.1032449214 0.1532449214
0.1071921702 0.1571921702
0.1111781664 0.1611781664
0.115200577 0.165200577
0.1192570754 0.1692570754
0.1233453433 0.1733453433
0.1274630735 0.1774630735
0.1316079716 0.1816079716
0.1357777583 0.1857777583
0.1399701717 0.1899701717
0.1441829688 0.1941829688
0.1484139281 0.1984139281
0.1526608509 0.2026608509
0.1569215634 0.2069215634
0.1611939187 0.2111939187
0.1654757979 0.2154757979
0.1697651122 0.2197651122
0.1740598043 0.2240598043
0.1783578499 0.2283578499
0.1826572589 0.2326572589
0.1869560771 0.2369560771
0.1912523871 0.2412523871
0.1955443096 0.2455443096
0.1998300047 0.2498300047
0.2041076726 0.2541076726
0.2083755547 0.2583755547
0.2126319345 0.2626319345
0.2168751383 0.2668751383
0.2211035362 0.2711035362
0.2253155423 0.2753155423
0.2295096156 0.2795096156
0.2336842604 0.2836842604
0.237838027 0.287838027
0.2419695115 0.2919695115
0.2460773566 0.2960773566
0.2501602517 0.3001602517
0.2542169329 0.3042169329
0.2582461832 0.3082461832
0.2622468328 0.3122468328
0.2662177586 0.3162177586
0.2701578844 0.3201578844
0.2740661808 0.3240661808
0.2779416648 0.3279416648
0.2817833997 0.3317833997
0.2855904949 0.3355904949
0.2893621052 0.3393621052
0.2930974308 0.3430974308
0.2967957165 0.3467957165
0.3004562515 0.3504562515
0.3040783686 0.3540783686
0.3076614441 0.3576614441
0.3112048965 0.3612048965
0.3147081865 0.3647081865
0.3181708159 0.3681708159
0.321592327 0.371592327
0.3249723022 0.3749723022
0.3283103627 0.3783103627
0.3316061681 0.3816061681
0.3348594153 0.3848594153
0.338069838 0.388069838
0.3412372057 0.3912372057
0.3443613226 0.3943613226
0.3474420272 0.3974420272
0.350479191 0.400479191
0.3534727178 0.4034727178
0.3564225427 0.4064225427
0.3593286312 0.4093286312
0.3621909784 0.4121909784
0.3650096077 0.4150096077
0.3677845705 0.4177845705
0.3705159445 0.4205159445
0.3732038334 0.4232038334
0.3758483657 0.4258483657
0.3784496936 0.4284496936
0.3810079925 0.4310079925
0.3835234596 0.4335234596
0.3859963135 0.4359963135
0.3884267929 0.4384267929
0.3908151557 0.4408151557
0.3931616783 0.4431616783
0.3954666549 0.4454666549
0.397730396 0.447730396
0.3999532281 0.4499532281
0.402135493 0.452135493
0.4042775461 0.4542775461
0.4063797566 0.4563797566
0.4084425062 0.4584425062
0.4104661881 0.4604661881
0.412451207 0.462451207
0.4143979774 0.4643979774
0.4163069236 0.4663069236
0.4181784787 0.4681784787
0.420013084 0.470013084
0.4218111879 0.4718111879
0.4235732461 0.4735732461
0.4252997201 0.4752997201
0.4269910771 0.4769910771
0.4286477891 0.4786477891
0.4302703325 0.4802703325
0.4318591875 0.4818591875
0.4334148374 0.4834148374
0.4349377685 0.4849377685
0.4364284689 0.4864284689
0.4378874287 0.4878874287
0.4393151389 0.4893151389
0.4407120917 0.4907120917
0.4420787792 0.4920787792
0.4434156936 0.4934156936
0.4447233267 0.4947233267
0.4460021692 0.4960021692
0.4472527106 0.4972527106
0.4484754389 0.4984754389
0.4496708402 0.4996708402
0.4508393981 0.5008393981
0.4519815939 0.5019815939
0.453097906 0.503097906
0.4541888096 0.5041888096
0.4552547765 0.5052547765
0.4562962751 0.5062962751
0.4573137697 0.5073137697
0.4583077209 0.5083077209
0.4592785847 0.5092785847
0.4602268127 0.5102268127
0.4611528522 0.5111528522
0.4620571454 0.5120571454
0.4629401298 0.5129401298
0.4638022377 0.5138022377
0.4646438962 0.5146438962
0.4654655273 0.5154655273
