ell  q
0 0
5.551303189e-05 0
0.0002220102209 0
0.0004993659047 0
0.0008873708394 0
0.001385732488 0
0.001994075423 0
0.002711941847 0
0.00353879222 0
0.004474006001 0
0.005516882502 0
0.006666641847 0
0.007922426036 0
0.009283300119 0
0.01074825346 0
0.01231620113 0
0.01398598532 0
0.01575637699 0
0.01762607741 0
0.01959372 0
0.02165787208 0
0.0238170368 0
0.02606965509 0
0.02841410774 0
0.03084871751 0
0.03337175126 0
0.03598142226 0
0.03867589244 0
0.04145327472 0
0.04431163545 0
0.04724899677 0
0.05026333917 0
0.0533526039 0
0.05651469556 0
0.05974748461 0
0.06304881 0
0.06641648168 0
0.06984828324 0
0.07334197451 0
0.07689529414 0
0.08050596221 0
0.08417168283 0
0.08789014667 0
0.09165903358 0
0.09547601508 0
0.09933875689 0
0.1032449214 0
0.1071921702 0
0.1111781664 0
0.115200577 0
0.1192570754 0
0.1233453433 0
0.1274630735 0
0.1316079716 0
0.1357777583 0
0.1399701717 0
0.1441829688 0
0.1484139281 0
0.1526608509 0
0.1569215634 0
0.1611939187 0
0.1654757979 0
0.1697651122 0
0.1740598043 0
0.1783578499 0
0.1826572589 0
0.1869560771 0
0.1912523871 0
0.1955443096 0
0.1998300047 0
0.2041076726 0
0.2083755547 0
0.2126319345 0
0.2168751383 0
0.2211035362 0
0.2253155423 0
0.2295096156 0
0.2336842604 0
0.237838027 0
0.2419695115 0
0.2460773566 0
0.2501602517 0
0.2542169329 0
0.2582461832 0
0.2622468328 0
0.2662177586 0
0.2701578844 0
0.2740661808 0
0.2779416648 0
0.2817833997 0
0.2855904949 0
0.2893621052 0
0.2930974308 0
0.2967957165 0
0.3004562515 0.0004562514623
0.3040783686 0.004078368642
0.3076614441 0.00766144411
0.3112048965 0.01120489653
0.3147081865 0.01470818649
0.3181708159 0.01817081586
0.321592327 0.02159232703
0.3249723022 0.02497230222
0.3283103627 0.02831036273
0.3316061681 0.03160616808
0.3348594153 0.0348594153
0.338069838 0.03806983802
0.3412372057 0.04123720567
0.3443613226 0.0443613226
0.3474420272 0.0474420272
0.350479191 0.050479191
0.3534727178 0.05347271779
0.3564225427 0.05642254268
0.3593286312 0.0593286312
0.3621909784 0.06219097836
0.3650096077 0.06500960772
0.3677845705 0.06778457048
0.3705159445 0.0705159445
0.3732038334 0.07320383342
0.3758483657 0.07584836567
0.3784496936 0.07844969359
0.3810079925 0.08100799246
0.3835234596 0.08352345962
0.3859963135 0.08599631354
0.3884267929 0.08842679288
0.3908151557 0.09081515567
0.3931616783 0.09316167833
0.3954666549 0.09546665486
0.397730396 0.09773039595
0.3999532281 0.09995322814
0.402135493 0.102135493
0.4042775461 0.1042775461
0.4063797566 0.1063797566
0.4084425062 0.1084425062
0.4104661881 0.1104661881
0.412451207 0.112451207
0.4143979774 0.1143979774
0.4163069236 0.1163069236
0.4181784787 0.1181784787
0.420013084 0.120013084
0.4218111879 0.1218111879
0.4235732461 0.1235732461
0.4252997201 0.1252997201
