t  S  q  ell
0 0 -0.15 0
0.0015 0.0001110322276 -0.15 5.551303189e-05
0.003 0.000444119048 -0.15 0.0002220102209
0.0045 0.0009992308744 -0.15 0.0004993659047
0.006 0.001776318399 -0.15 0.0008873708394
0.0075 0.002775312595 -0.15 0.001385732488
0.009 0.003996124728 -0.15 0.001994075423
0.0105 0.005438646356 -0.15 0.002711941847
0.012 0.007102749348 -0.15 0.00353879222
0.0135 0.008988285889 -0.15 0.004474006001
0.015 0.01109508849 -0.15 0.005516882502
0.0165 0.01342297002 -0.15 0.006666641847
0.018 0.0159717237 -0.15 0.007922426036
0.0195 0.01874112313 -0.15 0.009283300119
0.021 0.02173092233 -0.15 0.01074825346
0.0225 0.02494085571 -0.15 0.01231620113
0.024 0.02837063816 -0.15 0.01398598532
0.0255 0.03201996501 -0.15 0.01575637699
0.027 0.03588851213 -0.15 0.01762607741
0.0285 0.03997593587 -0.15 0.01959372
0.03 0.04428187318 -0.15 0.02165787208
0.0315 0.04880594157 -0.15 0.0238170368
0.033 0.05354773919 -0.15 0.02606965509
0.0345 0.05850684484 -0.15 0.02841410774
0.036 0.06368281803 -0.15 0.03084871751
0.0375 0.06907519901 -0.15 0.03337175126
0.039 0.07468350877 -0.15 0.03598142226
0.0405 0.08050724918 -0.15 0.03867589244
0.042 0.08654590292 -0.15 0.04145327472
0.0435 0.0927989336 -0.15 0.04431163545
0.045 0.09926578581 -0.15 0.04724899677
0.0465 0.1059458851 -0.15 0.05026333917
0.048 0.1128386381 -0.15 0.0533526039
0.0495 0.1199434326 -0.15 0.05651469556
0.051 0.1272596375 -0.15 0.05974748461
0.0525 0.1347866029 -0.15 0.06304881
0.054 0.1425236603 -0.15 0.06641648168
0.0555 0.1504701223 -0.15 0.06984828324
0.057 0.1586252831 -0.15 0.07334197451
0.0585 0.1669884184 -0.15 0.07689529414
0.06 0.1755587853 -0.15 0.08050596221
0.0615 0.1843356225 -0.15 0.08417168283
0.063 0.1933181503 -0.15 0.08789014667
0.0645 0.202505571 -0.15 0.09165903358
0.066 0.2118970684 -0.15 0.09547601508
0.0675 0.2214918084 -0.15 0.09933875689
0.069 0.2312889386 0.1532449214 0.1032449214
0.0705 0.2412875889 0.1571921702 0.1071921702
0.072 0.2514868711 0.1611781664 0.1111781664
0.0735 0.2618858792 0.165200577 0.115200577
0.075 0.2724836895 0.1692570754 0.1192570754
0.0765 0.2832793607 0.1733453433 0.1233453433
0.078 0.2942719339 0.1774630735 0.1274630735
0.0795 0.3054604326 0.1816079716 0.1316079716
0.081 0.316843863 0.1857777583 0.1357777583
0.0825 0.3284212139 0.1899701717 0.1399701717
0.084 0.340191457 0.1941829688 0.1441829688
0.0855 0.3521535468 0.1984139281 0.1484139281
0.087 0.3643064208 0.2026608509 0.1526608509
0.0885 0.3766489993 0.2069215634 0.1569215634
0.09 0.3891801862 0.2111939187 0.1611939187
0.0915 0.4018988684 0.2154757979 0.1654757979
0.093 0.414803916 0.2197651122 0.1697651122
0.0945 0.4278941827 0.2240598043 0.1740598043
0.096 0.4411685059 0.2283578499 0.1783578499
0.0975 0.4546257064 0.2326572589 0.1826572589
0.099 0.4682645889 0.2369560771 0.1869560771
0.1005 0.4820839419 0.2412523871 0.1912523871
0.102 0.4960825378 0.2455443096 0.1955443096
0.1035 0.5102591333 0.2498300047 0.1998300047
0.105 0.5246124691 0.2541076726 0.2041076726
0.1065 0.5391412702 0.2583755547 0.2083755547
0.108 0.5538442461 0.2626319345 0.2126319345
0.1095 0.5687200908 0.2668751383 0.2168751383
0.111 0.583767483 0.2711035362 0.2211035362
0.1125 0.598985086 0.2753155423 0.2253155423
0.114 0.6143715482 0.2795096156 0.2295096156
0.1155 0.6299255027 0.2836842604 0.2336842604
0.117 0.6456455682 0.287838027 0.237838027
