t  S  q  ell
0 0 0 0
0.0015 0.0001110322276 0 3.330781913e-05
0.003 0.000444119048 0 0.0001332061325
0.0045 0.0009992308744 0 0.0002996195428
0.006 0.001776318399 0 0.0005324225036
0.0075 0.002775312595 0 0.0008314394926
0.009 0.003996124728 0 0.001196445254
0.0105 0.005438646356 0 0.001627165108
0.012 0.007102749348 0 0.002123275332
0.0135 0.008988285889 0 0.0026844036
0.015 0.01109508849 0 0.003310129501
0.0165 0.01342297002 0 0.003999985108
0.018 0.0159717237 0 0.004753455622
0.0195 0.01874112313 0 0.005569980071
0.021 0.02173092233 0 0.006448952078
0.0225 0.02494085571 0 0.007389720676
0.024 0.02837063816 0 0.008391591194
0.0255 0.03201996501 0 0.009453826192
0.027 0.03588851213 0 0.01057564645
0.0285 0.03997593587 0 0.011756232
0.03 0.04428187318 0 0.01299472325
0.0315 0.04880594157 0 0.01429022208
0.033 0.05354773919 0 0.01564179305
0.0345 0.05850684484 0 0.01704846464
0.036 0.06368281803 0 0.0185092305
0.0375 0.06907519901 0 0.02002305076
0.039 0.07468350877 0 0.02158885336
0.0405 0.08050724918 0 0.02320553546
0.042 0.08654590292 0 0.02487196483
0.0435 0.0927989336 0 0.02658698127
0.045 0.09926578581 0 0.02834939806
0.0465 0.1059458851 7.902048236e-05 0.0301580035
0.048 0.1128386381 0.001008832344 0.03201156234
0.0495 0.1199434326 0.001965988805 0.03390881733
0.051 0.1272596375 0.002950306957 0.03584849077
0.0525 0.1347866029 0.003961601511 0.037829286
0.054 0.1425236603 0.004999685104 0.03984988901
0.0555 0.1504701223 0.006064368618 0.04190896994
0.057 0.1586252831 0.007155461512 0.0440051847
0.0585 0.1669884184 0.008272772162 0.04613717648
0.06 0.1755587853 0.009416108223 0.04830357733
0.0615 0.1843356225 0.010585277 0.0505030097
0.063 0.1933181503 0.01178008581 0.052734088
0.0645 0.202505571 0.01300034244 0.05499542015
0.066 0.2118970684 0.01424585549 0.05728560905
0.0675 0.2214918084 0.01551643485 0.05960325413
0.069 0.2312889386 0.01681189216 0.06194695285
0.0705 0.2412875889 0.01813204125 0.06431530214
0.072 0.2514868711 0.01947669864 0.06670689985
