t  S  q  ell
0 0 0 0
0.0015 0.0001110322276 0 5.551303189e-05
0.003 0.000444119048 0 0.0002220102209
0.0045 0.0009992308744 0 0.0004993659047
0.006 0.001776318399 0 0.0008873708394
0.0075 0.002775312595 0 0.001385732488
0.009 0.003996124728 0 0.001994075423
0.0105 0.005438646356 0 0.002711941847
0.012 0.007102749348 0 0.00353879222
0.0135 0.008988285889 0 0.004474006001
0.015 0.01109508849 0 0.005516882502
0.0165 0.01342297002 0 0.006666641847
0.018 0.0159717237 0 0.007922426036
0.0195 0.01874112313 0 0.009283300119
0.021 0.02173092233 0 0.01074825346
0.0225 0.02494085571 0 0.01231620113
0.024 0.02837063816 0 0.01398598532
0.0255 0.03201996501 0 0.01575637699
0.027 0.03588851213 0 0.01762607741
0.0285 0.03997593587 0 0.01959372
0.03 0.04428187318 0 0.02165787208
0.0315 0.04880594157 0 0.0238170368
0.033 0.05354773919 0 0.02606965509
0.0345 0.05850684484 0 0.02841410774
0.036 0.06368281803 0 0.03084871751
0.0375 0.06907519901 0 0.03337175126
0.039 0.07468350877 0 0.03598142226
0.0405 0.08050724918 0 0.03867589244
0.042 0.08654590292 0 0.04145327472
0.0435 0.0927989336 0 0.04431163545
0.045 0.09926578581 0 0.04724899677
0.0465 0.1059458851 0 0.05026333917
0.048 0.1128386381 0 0.0533526039
0.0495 0.1199434326 0 0.05651469556
0.051 0.1272596375 0 0.05974748461
0.0525 0.1347866029 0 0.06304881
0.054 0.1425236603 0 0.06641648168
0.0555 0.1504701223 0 0.06984828324
0.057 0.1586252831 0 0.07334197451
0.0585 0.1669884184 0 0.07689529414
0.06 0.1755587853 0 0.08050596221
0.0615 0.1843356225 0 0.08417168283
0.063 0.1933181503 0 0.08789014667
0.0645 0.202505571 0 0.09165903358
0.066 0.2118970684 0 0.09547601508
0.0675 0.2214918084 0 0.09933875689
0.069 0.2312889386 0.003244921421 0.1032449214
0.0705 0.2412875889 0.00719217023 0.1071921702
0.072 0.2514868711 0.01117816642 0.1111781664
0.0735 0.2618858792 0.01520057703 0.115200577
0.075 0.2724836895 0.01925707537 0.1192570754
0.0765 0.2832793607 0.0233453433 0.1233453433
0.078 0.2942719339 0.02746307348 0.1274630735
0.0795 0.3054604326 0.03160797156 0.1316079716
0.081 0.316843863 0.0357777583 0.1357777583
0.0825 0.3284212139 0.03997017166 0.1399701717
0.084 0.340191457 0.04418296881 0.1441829688
0.0855 0.3521535468 0.04841392808 0.1484139281
0.087 0.3643064208 0.05266085086 0.1526608509
0.0885 0.3766489993 0.05692156343 0.1569215634
0.09 0.3891801862 0.06119391869 0.1611939187
0.0915 0.4018988684 0.06547579789 0.1654757979
0.093 0.414803916 0.06976511221 0.1697651122
0.0945 0.4278941827 0.07405980433 0.1740598043
0.096 0.4411685059 0.07835784989 0.1783578499
0.0975 0.4546257064 0.08265725891 0.1826572589
0.099 0.4682645889 0.08695607708 0.1869560771
0.1005 0.4820839419 0.09125238706 0.1912523871
0.102 0.4960825378 0.09554430961 0.1955443096
0.1035 0.5102591333 0.09983000471 0.1998300047
0.105 0.5246124691 0.1041076726 0.2041076726
0.1065 0.5391412702 0.1083755547 0.2083755547
0.108 0.5538442461 0.1126319345 0.2126319345
0.1095 0.5687200908 0.1168751383 0.2168751383
0.111 0.583767483 0.1211035362 0.2211035362
0.1125 0.598985086 0.1253155423 0.2253155423
0.114 0.6143715482 0.1295096156 0.2295096156
0.1155 0.6299255027 0.1336842604 0.2336842604
0.117 0.6456455682 0.137838027 0.237838027
0.1185 0.661530348 0.1419695115 0.2419695115
0.12 0.6775784314 0.1460773566 0.2460773566
0.1215 0.6937883929 0.1501602517 0.2501602517
0.123 0.7101587924 0.1542169329 0.2542169329
0.1245 0.7266881761 0.1582461832 0.2582461832
0.126 0.7433750755 0.1622468328 0.2622468328
0.1275 0.7602180085 0.1662177586 0.2662177586
0.129 0.777215479 0.1701578844 0.2701578844
0.1305 0.7943659772 0.1740661808 0.2740661808
0.132 0.8116679797 0.1779416648 0.2779416648
0.1335 0.8291199496 0.1817833997 0.2817833997
0.135 0.8467203367 0.1855904949 0.2855904949
0.1365 0.8644675777 0.1893621052 0.2893621052
0.138 0.8823600961 0.1930974308 0.2930974308
0.1395 0.9003963026 0.1967957165 0.2967957165
0.141 0.9185745952 0.2004562515 0.3004562515
0.1425 0.9368933592 0.2040783686 0.3040783686
0.144 0.9553509673 0.2076614441 0.3076614441
0.1455 0.97394578 0.2112048965 0.3112048965
0.147 0.9926761458 0.2147081865 0.3147081865
0.1485 1.011540401 0.2181708159 0.3181708159
0.15 1.030536869 0.221592327 0.321592327
0.1515 1.049663864 0.2249723022 0.3249723022
0.153 1.068919686 0.2283103627 0.3283103627
0.1545 1.088302625 0.2316061681 0.3316061681
0.156 1.107810959 0.2348594153 0.3348594153
0.1575 1.127442955 0.238069838 0.338069838
0.159 1.14719687 0.2412372057 0.3412372057
0.1605 1.167070948 0.2443613226 0.3443613226
0.162 1.187063425 0.2474420272 0.3474420272
0.1635 1.207172525 0.250479191 0.350479191
0.165 1.227396461 0.2534727178 0.3534727178
0.1665 1.247733437 0.2564225427 0.3564225427
0.168 1.268181646 0.2593286312 0.3593286312
0.1695 1.288739273 0.2621909784 0.3621909784
0.171 1.309404491 0.2650096077 0.3650096077
0.1725 1.330175464 0.2677845705 0.3677845705
0.174 1.351050348 0.2705159445 0.3705159445
0.1755 1.372027289 0.2732038334 0.3732038334
0.177 1.393104422 0.2758483657 0.3758483657
0.1785 1.414279877 0.2784496936 0.3784496936
0.18 1.435551771 0.2810079925 0.3810079925
0.1815 1.456918216 0.2835234596 0.3835234596
0.183 1.478377313 0.2859963135 0.3859963135
0.1845 1.499927157 0.2884267929 0.3884267929
0.186 1.521565833 0.2908151557 0.3908151557
0.1875 1.543291419 0.2931616783 0.3931616783
0.189 1.565101986 0.2954666549 0.3954666549
0.1905 1.586995595 0.297730396 0.397730396
0.192 1.608970303 0.2999532281 0.3999532281
0.1935 1.631024158 0.302135493 0.402135493
0.195 1.653155199 0.3042775461 0.4042775461
0.1965 1.675361463 0.3063797566 0.4063797566
0.198 1.697640975 0.3084425062 0.4084425062
0.1995 1.719991758 0.3104661881 0.4104661881
0.201 1.742411826 0.312451207 0.412451207
0.2025 1.764899187 0.3143979774 0.4143979774
0.204 1.787451844 0.3163069236 0.4163069236
0.2055 1.810067793 0.3181784787 0.4181784787
0.207 1.832745027 0.320013084 0.420013084
0.2085 1.855481529 0.3218111879 0.4218111879
0.21 1.878275282 0.3235732461 0.4235732461
0.2115 1.90112426 0.3252997201 0.4252997201
0.213 1.924026433 0.3269910771 0.4269910771
0.2145 1.946979768 0.3286477891 0.4286477891
0.216 1.969982225 0.3302703325 0.4302703325
0.2175 1.993031762 0.3318591875 0.4318591875
0.219 2.01612633 0.3334148374 0.4334148374
0.2205 2.039263879 0.3349377685 0.4349377685
0.222 2.062442353 0.3364284689 0.4364284689
0.2235 2.085659693 0.3378874287 0.4378874287
0.225 2.108913837 0.3393151389 0.4393151389
0.2265 2.13220272 0.3407120917 0.4407120917
0.228 2.155524273 0.3420787792 0.4420787792
0.2295 2.178876424 0.3434156936 0.4434156936
0.231 2.2022571 0.3447233267 0.4447233267
0.2325 2.225664222 0.3460021692 0.4460021692
0.234 2.249095713 0.3472527106 0.4472527106
0.2355 2.27254949 0.3484754389 0.4484754389
0.237 2.296023471 0.3496708402 0.4496708402
0.2385 2.31951557 0.3508393981 0.4508393981
0.24 2.343023701 0.3519815939 0.4519815939
0.2415 2.366545776 0.353097906 0.453097906
0.243 2.390079704 0.3541888096 0.4541888096
0.2445 2.413623397 0.3552547765 0.4552547765
0.246 2.437174761 0.3562962751 0.4562962751
0.2475 2.460731707 0.3573137697 0.4573137697
0.249 2.48429214 0.3583077209 0.4583077209
0.2505 2.507853969 0.3592785847 0.4592785847
0.252 2.5314151 0.3602268127 0.4602268127
0.2535 2.55497344 0.3611528522 0.4611528522
0.255 2.578526898 0.3620571454 0.4620571454
0.2565 2.60207338 0.3629401298 0.4629401298
0.258 2.625610795 0.3638022377 0.4638022377
0.2595 2.649137053 0.3646438962 0.4646438962
0.261 2.672650064 0.3654655273 0.4654655273
0.2625 2.696147739 0.3662675474 0.4662675474
0.264 2.719627991 0.3670503675 0.4670503675
0.2655 2.743088735 0.367814393 0.467814393
0.267 2.766527886 0.3685600237 0.4685600237
0.2685 2.789943362 0.3692876536 0.4692876536
0.27 2.813333084 0.3699976709 0.4699976709
0.2715 2.836694974 0.3706904581 0.4706904581
0.273 2.860026956 0.3713663917 0.4713663917
0.2745 2.883326959 0.3720258425 0.4720258425
0.276 2.906592913 0.372669175 0.472669175
0.2775 2.929822751 0.3732967482 0.4732967482
0.279 2.953014409 0.3739089149 0.4739089149
0.2805 2.976165828 0.3745060219 0.4745060219
0.282 2.999274951 0.3750884102 0.4750884102
0.2835 3.022339726 0.3756564148 0.4756564148
0.285 3.045358103 0.3762103647 0.4762103647
0.2865 3.068328039 0.3767505829 0.4767505829
0.288 3.091247493 0.3772773868 0.4772773868
0.2895 3.114114428 0.3777910875 0.4777910875
0.291 3.136926814 0.3782919907 0.4782919907
0.2925 3.159682625 0.378780396 0.478780396
0.294 3.182379839 0.3792565972 0.4792565972
0.2955 3.20501644 0.3797208826 0.4797208826
0.297 3.227590417 0.3801735346 0.4801735346
