t  q
0 -0.15
0.01 -0.15
0.02 -0.15
0.03 -0.15
0.04 -0.15
0.05 -0.15
0.06 -0.15
0.07 0.155872
0.08 0.1829952471
0.09 0.2111939187
0.1 0.2398206792
0.11 0.2682863286
0.12 0.2960773566
0.13 0.3227670135
0.14 0.3480201232
0.15 0.371592327
0.16 0.3933247666
0.17 0.413135377
0.18 0.4310079925
0.19 0.4469803775
0.2 0.4611321367
0.21 0.4735732461
0.22 0.4844337301
0.23 0.4938548006
0.24 0.5019815939
0.25 0.5089575007
0.26 0.5149199778
0.27 0.5199976709
0.28 0.5243086384
0.29 0.5279594623
0.3 0.5310450405
0.31 0.5336488748
0.32 0.5358436984
0.33 0.5376923144
0.34 0.5392485448
0.35 0.5405582158
0.36 0.5416601259
0.37 0.5425869621
0.38 0.543366142
0.39 0.5440205715
0.4 0.5445693132
0.41 0.5450281685
0.42 0.5454101773
0.43 0.5457260414
0.44 0.5459844799
0.45 0.5461925228
0.46 0.5463557514
0.47 0.5464784897
0.48 0.5465639542
0.49 0.5466143657
0.5 0.5466310265
0.51 0.5466310265
0.52 0.5466310265
0.53 0.5466310265
0.54 0.5466310265
0.55 0.5466310265
0.56 0.5466310265
0.57 0.5466310265
0.58 0.5466310265
0.59 0.5466310265
0.6 0.5466310265
0.61 0.5466310265
0.62 0.5466310265
0.63 0.5466310265
0.64 0.5466310265
0.65 0.5466310265
0.66 0.5466310265
0.67 0.5466310265
0.68 0.5466310265
0.69 0.5466310265
0.7 0.5466310265
0.71 0.5466310265
0.72 0.5466310265
0.73 0.5466310265
0.74 0.5466310265
0.75 0.5466310265
0.76 0.5466310265
0.77 0.5466310265
0.78 0.5466310265
0.79 0.5466310265
0.8 0.5466310265
0.81 0.5466310265
0.82 0.5466310265
0.83 0.5466310265
0.84 0.5466310265
0.85 0.5466310265
0.86 0.5466310265
0.87 0.5227670135
0.88 0.4960773566
0.89 0.4682863286
0.9 0.4398206792
0.91 0.4111939187
0.92 0.3829952471
0.93 0.355872
0.94 0.3305059622
0.95 0.3075845427
0.96 0.2877684291
0.97 0.2716578721
0.98 0.2597601056
0.99 0.2524605154
1 0.25
