t  q
0 0
0.008333333333 0
0.01666666667 0
0.025 0
0.03333333333 0
0.04166666667 0
0.05 0
0.05833333333 0
0.06666666667 0
0.075 0
0.08333333333 0
0.09166666667 0
0.1 0
0.1083333333 0
0.1166666667 0
0.125 0
0.1333333333 0
0.1416666667 0
0.15 0
0.1583333333 0.002271947874
0.1666666667 0.008916323731
0.175 0.01967592593
0.1833333333 0.03429355281
0.1916666667 0.05251200274
0.2 0.07407407407
0.2083333333 0.09872256516
0.2166666667 0.1262002743
0.225 0.15625
0.2333333333 0.1886145405
0.2416666667 0.2230366941
0.25 0.2592592593
0.2583333333 0.2970250343
0.2666666667 0.3360768176
0.275 0.3761574074
0.2833333333 0.4170096022
0.2916666667 0.4583762003
0.3 0.5
0.3083333333 0.5416237997
0.3166666667 0.5829903978
0.325 0.6238425926
0.3333333333 0.6639231824
0.3416666667 0.7029749657
0.35 0.7407407407
0.3583333333 0.7769633059
0.3666666667 0.8113854595
0.375 0.84375
0.3833333333 0.8737997257
0.3916666667 0.9012774348
0.4 0.9259259259
0.4083333333 0.9474879973
0.4166666667 0.9657064472
0.425 0.9803240741
0.4333333333 0.9910836763
0.4416666667 0.9977280521
0.45 1
0.4583333333 1
0.4666666667 1
0.475 1
0.4833333333 1
0.4916666667 1
0.5 1
0.5083333333 1
0.5166666667 1
0.525 1
0.5333333333 1
0.5416666667 1
0.55 1
0.5583333333 0.9977280521
0.5666666667 0.9910836763
0.575 0.9803240741
0.5833333333 0.9657064472
0.5916666667 0.9474879973
0.6 0.9259259259
0.6083333333 0.9012774348
0.6166666667 0.8737997257
0.625 0.84375
0.6333333333 0.8113854595
0.6416666667 0.7769633059
0.65 0.7407407407
0.6583333333 0.7029749657
0.6666666667 0.6639231824
0.675 0.6238425926
0.6833333333 0.5829903978
0.6916666667 0.5416237997
0.7 0.5
0.7083333333 0.4583762003
0.7166666667 0.4170096022
0.725 0.3761574074
0.7333333333 0.3360768176
0.7416666667 0.2970250343
0.75 0.2592592593
0.7583333333 0.2230366941
0.7666666667 0.1886145405
0.775 0.15625
0.7833333333 0.1262002743
0.7916666667 0.09872256516
0.8 0.07407407407
0.8083333333 0.05251200274
0.8166666667 0.03429355281
0.825 0.01967592593
0.8333333333 0.008916323731
0.8416666667 0.002271947874
0.85 0
0.8583333333 0
0.8666666667 0
0.875 0
0.8833333333 0
0.8916666667 0
0.9 0
0.9083333333 0
0.9166666667 0
0.925 0
0.9333333333 0
0.9416666667 0
0.95 0
0.9583333333 0
0.9666666667 0
0.975 0
0.9833333333 0
0.9916666667 0
1 0
