t  q
0 0
0.03333333333 0
0.06666666667 0
0.1 0
0.1333333333 0
0.1666666667 0.008916323731
0.2 0.07407407407
0.2333333333 0.1886145405
0.2666666667 0.3360768176
0.3 0.5
0.3333333333 0.6639231824
0.3666666667 0.8113854595
0.4 0.9259259259
0.4333333333 0.9910836763
0.4666666667 0.9910836763
0.5 0.9910836763
0.5333333333 0.9910836763
0.5666666667 0.9910836763
0.6 0.9259259259
0.6333333333 0.8113854595
0.6666666667 0.6639231824
0.7 0.5
0.7333333333 0.3360768176
0.7666666667 0.1886145405
0.8 0.07407407407
0.8333333333 0.008916323731
0.8666666667 0.008916323731
0.9 0.008916323731
0.9333333333 0.008916323731
0.9666666667 0.008916323731
1 0.008916323731
